departure_time,departure_minutes,status,total_conflicts,conflict_stations
00:00,0,AVAILABLE,0,0
00:15,15,AVAILABLE,0,0
00:30,30,AVAILABLE,0,0
00:45,45,AVAILABLE,0,0
01:00,60,AVAILABLE,0,0
01:15,75,AVAILABLE,0,0
01:30,90,AVAILABLE,0,0
01:45,105,AVAILABLE,0,0
02:00,120,AVAILABLE,0,0
02:15,135,AVAILABLE,0,0
02:30,150,AVAILABLE,0,0
02:45,165,AVAILABLE,0,0
03:00,180,AVAILABLE,0,0
03:15,195,AVAILABLE,0,0
03:30,210,AVAILABLE,0,0
03:45,225,AVAILABLE,0,0
04:00,240,AVAILABLE,0,0
04:15,255,AVAILABLE,0,0
04:30,270,AVAILABLE,0,0
04:45,285,AVAILABLE,0,0
05:00,300,AVAILABLE,0,0
05:15,315,AVAILABLE,0,0
05:30,330,AVAILABLE,0,0
05:45,345,AVAILABLE,0,0
06:00,360,AVAILABLE,0,0
06:15,375,AVAILABLE,0,0
06:30,390,AVAILABLE,0,0
06:45,405,AVAILABLE,0,0
07:00,420,AVAILABLE,0,0
07:15,435,AVAILABLE,0,0
07:30,450,AVAILABLE,0,0
07:45,465,AVAILABLE,0,0
08:00,480,AVAILABLE,0,0
08:15,495,AVAILABLE,0,0
08:30,510,AVAILABLE,0,0
08:45,525,AVAILABLE,0,0
09:00,540,AVAILABLE,0,0
09:15,555,AVAILABLE,0,0
09:30,570,AVAILABLE,0,0
09:45,585,AVAILABLE,0,0
10:00,600,AVAILABLE,0,0
10:15,615,AVAILABLE,0,0
10:30,630,AVAILABLE,0,0
10:45,645,CONGESTED,8,8
11:00,660,CONGESTED,17,13
11:15,675,CONGESTED,1309,18
11:30,690,CONGESTED,1431,16
11:45,705,CONGESTED,624,9
12:00,720,CONGESTED,46,3
12:15,735,LIMITED,1,1
12:30,750,AVAILABLE,0,0
12:45,765,AVAILABLE,0,0
13:00,780,AVAILABLE,0,0
13:15,795,AVAILABLE,0,0
13:30,810,AVAILABLE,0,0
13:45,825,AVAILABLE,0,0
14:00,840,AVAILABLE,0,0
14:15,855,AVAILABLE,0,0
14:30,870,AVAILABLE,0,0
14:45,885,AVAILABLE,0,0
15:00,900,AVAILABLE,0,0
15:15,915,AVAILABLE,0,0
15:30,930,AVAILABLE,0,0
15:45,945,LIMITED,1,1
16:00,960,LIMITED,2,1
16:15,975,LIMITED,1,1
16:30,990,LIMITED,1,1
16:45,1005,AVAILABLE,0,0
17:00,1020,AVAILABLE,0,0
17:15,1035,AVAILABLE,0,0
17:30,1050,AVAILABLE,0,0
17:45,1065,AVAILABLE,0,0
18:00,1080,AVAILABLE,0,0
18:15,1095,AVAILABLE,0,0
18:30,1110,AVAILABLE,0,0
18:45,1125,AVAILABLE,0,0
19:00,1140,AVAILABLE,0,0
19:15,1155,AVAILABLE,0,0
19:30,1170,AVAILABLE,0,0
19:45,1185,CONGESTED,4,4
20:00,1200,CONGESTED,4,4
20:15,1215,LIMITED,1,1
20:30,1230,LIMITED,1,1
20:45,1245,AVAILABLE,0,0
21:00,1260,LIMITED,2,2
21:15,1275,CONGESTED,10,4
21:30,1290,CONGESTED,16,4
21:45,1305,CONGESTED,27,5
22:00,1320,CONGESTED,32,5
22:15,1335,CONGESTED,32,5
22:30,1350,CONGESTED,26,5
22:45,1365,LIMITED,2,2
23:00,1380,CONGESTED,3,3
23:15,1395,CONGESTED,3,3
23:30,1410,LIMITED,1,1
23:45,1425,AVAILABLE,0,0
