station,average_position,order
Strångsjö,16.5,1
Simonstorp,18.0,2
Åby södra,19.0,3
Norrköpings c,20.0,4
Fiskeby,21.0,5
Kimstad,22.0,6
Gistad,23.0,7
Linghem,24.0,8
Linköpings c,25.0,9
Skebokvarn,25.9981884057971,10
Vikingstad,26.0,11
Mantorp,27.0,12
Mjölby,28.0,13
Lindekullen,29.0,14
Boxholm,30.0,15
Hallsbergs rangerbangård,30.809174311926604,16
Sommen,31.0,17
Göteborg Marieholm,31.0,18
Agnesberg,31.333333333333332,19
Surte,31.666666666666668,20
Bohus,32.0,21
Tranås,32.0,22
Kolke,32.24797843665768,23
Nödinge,32.333333333333336,24
Södertälje hamn,32.574175824175825,25
Södertälje syd undre,32.60164835164835,26
Järna,32.65384615384615,27
Nol,32.666666666666664,28
Mölnbo,32.68131868131868,29
Bränninge,32.71506849315068,30
Björnlunda,32.78021978021978,31
Nyckelsjön,32.82967032967033,32
Gnesta,32.83287671232877,33
Sparreholm,32.857142857142854,34
Älvängen,33.0,35
Gripenberg,33.0,36
Stjärnhov,33.03825136612022,37
Flen,33.417582417582416,38
Sköldinge,33.44505494505494,39
Katrineholms c,33.451790633608816,40
Laxå,33.463855421686745,41
Stolpstugan,33.472527472527474,42
Stenkullen,33.476885644768856,43
Lödöse södra,33.5,44
Baggetorp,33.578512396694215,45
Vingåker,33.603305785123965,46
Högsjö,33.62809917355372,47
Kilsmo,33.65289256198347,48
Hallsbergs pbg,33.70262793914246,49
Pålsboda,33.71270718232044,50
Torbacken,33.833333333333336,51
Frinnaryd,34.0,52
Tälle,34.31491712707182,53
Östansjö,34.3213296398892,54
Vretstorp,34.33057851239669,55
Velanda södra,34.333333333333336,56
Linddalen,34.35537190082645,57
Finnerödja,34.59103641456583,58
Gårdsjö,34.621848739495796,59
Älgarås,34.65266106442577,60
Öxnered,34.666666666666664,61
Slätte,34.68347338935574,62
Töreboda,34.714285714285715,63
Moholm,34.745098039215684,64
Ånimskog,34.75,65
Väring,34.77591036414566,66
Skövde c,34.80672268907563,67
Regumatorp,34.8375350140056,68
Ralingsås,35.0,69
Falköpings norra,35.022408963585434,70
Falköpings c,35.13286713286713,71
Floby,35.139275766016716,72
Frändefors,35.166666666666664,73
Källeryd,35.201117318435756,74
Norsesund,35.23463687150838,75
Herrljunga central,35.23463687150838,76
Herrljunga västra,35.26815642458101,77
Vårgårda,35.30167597765363,78
Algutsgården,35.33519553072626,79
Bryngenäs,35.38826815642458,80
Alingsås,35.42016806722689,81
Västra Bodarna,35.45530726256983,82
Floda,35.539106145251395,83
Stenstorp,35.54114713216958,84
Brålanda,35.666666666666664,85
Jonsered Västra,35.675977653631286,86
Norsesund västra,35.74301675977654,87
Aspedalen,35.902234636871505,88
Aspen,35.935754189944134,89
Vålberg,36.0,90
Aneby,36.0,91
Partille,36.03631284916201,92
Sävedalen,36.06983240223464,93
Göteborg Sävenäs,36.10335195530726,94
Skälebol,36.166666666666664,95
Jonsered östra,36.29608938547486,96
Göteborg Lindholmen,36.41483516483517,97
Pölsebo,36.44230769230769,98
Göteborg Skandiahamnen,36.46978021978022,99
Erikstad,36.5,100
Göteborg Kville,36.65846994535519,101
Mellerud,36.833333333333336,102
Flisby,37.0,103
Åmål,37.2,104
Säffle,37.9,105
Vimnarp,38.0,106
Gamlarp,39.0,107
Värmlands Bro,39.333333333333336,108
Alvhem,39.57142857142857,109
Segmon,39.666666666666664,110
Bjurhem,39.714285714285715,111
Varpemossen,39.857142857142854,112
Nässjö c,40.5,113
Köpmannebro,40.57142857142857,114
Kil,40.666666666666664,115
Stenåsen,41.166666666666664,116
Grums,41.42857142857143,117
Klingerud,41.5,118
Edsvalla,41.714285714285715,119
Lerum,41.732251521298174,120
Äng,42.0,121
Karlstads central,42.142857142857146,122
Skåre,42.2,123
Karlstad Välsviken,42.333333333333336,124
Kristinehamn,42.42857142857143,125
Skattkärr,42.55555555555556,126
Ölme,42.57142857142857,127
Forserum,43.0,128
Tösse,43.0,129
Väse,43.166666666666664,130
Byälven,43.5,131
Trollhättan,43.75,132
Björneborg,43.833333333333336,133
Tenhult,44.0,134
Strömtorp,44.166666666666664,135
Degerfors,44.5,136
Huskvarna,45.0,137
Hasselfors,45.5,138
Jönköpings c,46.0,139
Svartå,46.625,140
Bankeryd,47.0,141
Habo,48.0,142
Mullsjö,49.0,143
Sandhem,50.0,144
Olskroken,50.83467741935484,145
Vartofta,51.0,146
