direction,station,mean_minutes,median_minutes,min_minutes,max_minutes
TO_SODERTALJE,Falköpings c,94.54335260115607,92.0,92.0,117.0
TO_SODERTALJE,Hallsbergs pbg,194.96045197740114,188.0,188.0,355.0
TO_SODERTALJE,Skebokvarn,265.6779661016949,258.0,256.0,422.0
TO_SODERTALJE,Hallsbergs rangerbangård,191.0909090909091,184.0,184.0,352.0
TO_SODERTALJE,Lerum,32.91329479768786,33.0,32.0,41.0
TO_SODERTALJE,Laxå,174.19209039548022,168.0,166.0,336.0
TO_SODERTALJE,Göteborg Skandiahamnen,0.0,0.0,0.0,0.0
TO_SODERTALJE,Södertälje hamn,311.3785310734463,303.0,303.0,496.0
TO_SODERTALJE,Brålanda,86.0,86.0,85.0,87.0
TO_SODERTALJE,Kil,208.0,207.5,206.0,211.0
TO_SODERTALJE,Åmål,140.75,140.5,130.0,152.0
TO_SODERTALJE,Säffle,165.25,162.5,160.0,176.0
TO_SODERTALJE,Skåre,228.75,229.0,226.0,231.0
TO_SODERTALJE,Skattkärr,245.5,245.5,245.0,246.0
TO_SODERTALJE,Tösse,133.5,133.5,122.0,145.0
TO_SODERTALJE,Ånimskog,120.0,120.0,115.0,125.0
TO_SODERTALJE,Svartå,303.0,303.0,292.0,314.0
TO_SODERTALJE,Trollhättan,62.0,62.0,61.0,63.0
FROM_SODERTALJE,Falköpings c,249.72972972972974,244.0,244.0,339.0
FROM_SODERTALJE,Hallsbergs pbg,123.17204301075269,121.0,121.0,157.0
FROM_SODERTALJE,Skebokvarn,43.63636363636363,43.0,41.0,53.0
FROM_SODERTALJE,Hallsbergs rangerbangård,135.1505376344086,132.0,130.0,163.0
FROM_SODERTALJE,Lerum,330.4756756756757,325.0,325.0,413.0
FROM_SODERTALJE,Laxå,167.54301075268816,161.0,151.0,264.0
FROM_SODERTALJE,Göteborg Skandiahamnen,376.379679144385,370.0,370.0,688.0
FROM_SODERTALJE,Södertälje hamn,0.0,0.0,0.0,0.0
FROM_SODERTALJE,Brålanda,516.0,516.0,486.0,546.0
FROM_SODERTALJE,Kil,344.5,344.5,340.0,349.0
FROM_SODERTALJE,Åmål,433.0,433.0,427.0,439.0
FROM_SODERTALJE,Säffle,408.0,408.0,403.0,413.0
FROM_SODERTALJE,Skåre,323.0,323.0,323.0,323.0
FROM_SODERTALJE,Skattkärr,235.0,235.0,225.0,245.0
FROM_SODERTALJE,Tösse,456.5,456.5,435.0,478.0
FROM_SODERTALJE,Ånimskog,477.5,477.5,454.0,501.0
FROM_SODERTALJE,Svartå,177.0,177.0,168.0,186.0
FROM_SODERTALJE,Trollhättan,569.5,569.5,545.0,594.0
FROM_SODERTALJE,Nässjö c,213.0,213.0,213.0,213.0
FROM_SODERTALJE,Strångsjö,72.0,72.0,72.0,72.0
